category_id,restaurant_id
pasta_1614,pasta-pino
italian_21,pasta-pino
other_101,pasta-pino
italian-pizza_271,da-barone-et-fils
italian-pizza_271,pizza-gustosa
pasta_1614,pizza-gustosa
italian_21,pizza-gustosa
italian-pizza_271,la-brezza-nova-rocourt-1
pasta_1614,la-brezza-nova-rocourt-1
italian_21,la-brezza-nova-rocourt-1
italian-pizza_271,la-storia-ans
pasta_1614,la-storia-ans
2600,la-storia-ans
italian-pizza_271,pizza-hut-delivery-houthalen
american-pizza_281,pizza-hut-delivery-houthalen
american_381,pizza-hut-delivery-houthalen
italian-pizza_271,grillhouse-kusadasi
turkish_511,grillhouse-kusadasi
grill_801,grillhouse-kusadasi
italian-pizza_271,litaliano-nieppe
burgers_1984,litaliano-nieppe
french-tacos_2548,litaliano-nieppe
burgers_1984,signature-burger-ixelles
fries_1734,signature-burger-ixelles
salads_1456,signature-burger-ixelles
italian-pizza_271,pizza-hut-delivery-ukkeluccle-2-st-job
american-pizza_281,pizza-hut-delivery-ukkeluccle-2-st-job
american_381,pizza-hut-delivery-ukkeluccle-2-st-job
moroccan_341,delices-de-mazagan
salads_1456,delices-de-mazagan
fish_421,delices-de-mazagan
italian-pizza_271,dominos-pizza-tubize
american-pizza_281,dominos-pizza-tubize
american_381,dominos-pizza-tubize
sushi_51,akira
japanese_551,akira
italian-pizza_271,pizzeria-taormina-virginal
pasta_1614,pizzeria-taormina-virginal
italian_21,pizzeria-taormina-virginal
snacks_201,snack-de-la-gare-tubize
turkish_511,snack-de-la-gare-tubize
salads_1456,snack-de-la-gare-tubize
burgers_1984,butcher
grill_801,butcher
indian_71,cooking4u
wok_561,cooking4u
international_1486,cooking4u
indian_71,indian-palace-nl
pita-kebab_651,snack-pita-bodrum-vise
drinks-and-snacks_661,snack-pita-bodrum-vise
sushi_51,sushi-chow
japanese_551,sushi-chow
chinese_41,shangri-la-oupeye
noodles_1644,shangri-la-oupeye
chicken_521,shangri-la-oupeye
snacks_201,kero-tacos-1
desserts_954,kero-tacos-1
french-tacos_2548,kero-tacos-1
italian-pizza_271,napoli-heers
pasta_1614,napoli-heers
turkish_511,napoli-heers
tacos_1964,otacos-waremme
100-halal_921,otacos-waremme
french_321,otacos-waremme
italian-pizza_271,la-plazza-waremme
pasta_1614,la-plazza-waremme
italian_21,la-plazza-waremme
italian-pizza_271,pizza-hut-delivery-beernem
american-pizza_281,pizza-hut-delivery-beernem
american_381,pizza-hut-delivery-beernem
italian-pizza_271,oregano-brasschaat
pasta_1614,oregano-brasschaat
italian_21,oregano-brasschaat
2600,oregano-brasschaat
pita-kebab_651,side-kebap
italian-pizza_271,side-kebap
italian_21,side-kebap
pasta_1614,broodjeszaak-de-vrijheid
sandwiches_671,broodjeszaak-de-vrijheid
sushi_51,asia-delice
wok_561,asia-delice
noodles_1644,asia-delice
italian-pizza_271,pizza-hut-delivery-vilvoorde-1
american-pizza_281,pizza-hut-delivery-vilvoorde-1
american_381,pizza-hut-delivery-vilvoorde-1
pita-kebab_651,snack-opwijk
italian-pizza_271,snack-opwijk
turkish_511,snack-opwijk
burgers_1984,kfc-wijnegem
snacks_201,kfc-wijnegem
american_381,kfc-wijnegem
italian-pizza_271,lla-famiglia
pasta_1614,lla-famiglia
italian_21,lla-famiglia
italian-pizza_271,pyramide-hamont
steak_2004,pyramide-hamont
shoarma_2014,pyramide-hamont
pita-kebab_651,anatolia-23-1
italian-pizza_271,anatolia-23-1
turkish-pizza_291,anatolia-23-1
pasta_1614,la-brochette-du-chalet
steak_2004,la-brochette-du-chalet
chinese_41,xin-yuan
desserts_954,xin-yuan
drinks-and-snacks_661,xin-yuan
italian-pizza_271,chez-giovanni
pasta_1614,chez-giovanni
italian_21,chez-giovanni
chinese_41,hau-wang-uccle
noodles_1644,hau-wang-uccle
pita-kebab_651,chef-kebab-1
snacks_201,chef-kebab-1
turkish_511,chef-kebab-1
italian-pizza_271,dominos-pizza-jette-1
american-pizza_281,dominos-pizza-jette-1
american_381,dominos-pizza-jette-1
italian-pizza_271,dominos-pizza-berchem-sainte-agathe
american-pizza_281,dominos-pizza-berchem-sainte-agathe
american_381,dominos-pizza-berchem-sainte-agathe
italian-pizza_271,woodiz-basilique
desserts_954,woodiz-basilique
italian-pizza_271,i-love-pizza
pasta_1614,i-love-pizza
italian_21,i-love-pizza
pasta_1614,o-delices-du-basilix
sandwiches_671,o-delices-du-basilix
salads_1456,o-delices-du-basilix
sushi_51,sushiria-jette
halal_371,sushiria-jette
japanese_551,sushiria-jette
groceries_2500,librairie-koekelberg-iii
drinks-and-snacks_661,librairie-koekelberg-iii
drinks_241,librairie-koekelberg-iii
burgers_1984,factory-buns
snacks_201,factory-buns
groceries_2500,librairie-koekelberg-ii
drinks-and-snacks_661,librairie-koekelberg-ii
drinks_241,librairie-koekelberg-ii
pita-kebab_651,pitta-house-2
desserts_954,pitta-house-2
drinks-and-snacks_661,pitta-house-2
groceries_2500,librairie-koekelberg
drinks-and-snacks_661,librairie-koekelberg
drinks_241,librairie-koekelberg
steak_2004,iskay
grill_801,iskay
international_1486,iskay
smoothie-and-juice_1664,papa-sucre-sale
soup_1406,papa-sucre-sale
french_321,papa-sucre-sale
italian-pizza_271,dominos-pizza-ronse
american-pizza_281,dominos-pizza-ronse
american_381,dominos-pizza-ronse
pita-kebab_651,kursatto
italian-pizza_271,kursatto
burgers_1984,kursatto
burgers_1984,le-meilleur-de-la-frite
snacks_201,le-meilleur-de-la-frite
wrap_1416,le-meilleur-de-la-frite
snacks_201,freros
international_1486,freros
drinks-and-snacks_661,freros
italian-pizza_271,dominos-pizza-houthalen
american-pizza_281,dominos-pizza-houthalen
american_381,dominos-pizza-houthalen
pita-kebab_651,snack-felix-2
fries_1734,snack-felix-2
snacks_201,snack-felix-2
pita-kebab_651,snack-papay
burgers_1984,snack-papay
snacks_201,snack-papay
lebanese_491,tamy
grill_801,tamy
falafel_1256,tamy
greek_501,omiros
steak_2004,omiros
drinks-and-snacks_661,omiros
pasta_1614,buv-moi
sandwiches_671,buv-moi
salads_1456,buv-moi
pasta_1614,le-pecheur
grill_801,le-pecheur
fish_421,le-pecheur
pasta_1614,le-porto-fino
italian_21,le-porto-fino
salads_1456,le-porto-fino
pita-kebab_651,snack-tadim
fries_1734,snack-tadim
turkish_511,snack-tadim
pita-kebab_651,le-1050
salads_1456,le-1050
french_321,volle-gas-1
belgian_1974,volle-gas-1
italian-pizza_271,gusto-di
pasta_1614,gusto-di
100-halal_921,gusto-di
2600,gusto-di
indian_71,shapla-masala
chicken_521,shapla-masala
pasta_1614,el-bocadillos
drinks-and-snacks_661,el-bocadillos
sandwiches_691,el-bocadillos
italian-pizza_271,oliva-etterbeek
burgers_1984,oliva-etterbeek
pasta_1614,oliva-etterbeek
2600,oliva-etterbeek
pita-kebab_651,snack-chez-zeki
fries_1734,snack-chez-zeki
snacks_201,snack-chez-zeki
spanish-and-tapas_11,empanadas
halal_371,restaurant-grecque-nammos
greek_501,restaurant-grecque-nammos
desserts_954,restaurant-grecque-nammos
italian-pizza_271,antipasti-sapori
italian_21,antipasti-sapori
burgers_1984,afrosian-ixelles
wok_561,afrosian-ixelles
african_771,afrosian-ixelles
greek_501,metropolis
salads_1456,metropolis
chicken_521,metropolis
pita-kebab_651,petit-palais
fries_1734,petit-palais
halal_371,petit-palais
pita-kebab_651,snack-dylan
fries_1734,snack-dylan
snacks_201,snack-dylan
lebanese_491,osyrie
sandwiches_671,osyrie
grill_801,osyrie
pita-kebab_651,snack-sibel-1
sandwiches_671,snack-sibel-1
snacks_201,snack-sibel-1
italian-pizza_271,les-4-gouts
pasta_1614,les-4-gouts
chicken_521,les-4-gouts
italian-pizza_271,am-princesse
pasta_1614,am-princesse
desserts_954,am-princesse
pasta_1614,il-covo
italian_21,il-covo
desserts_954,il-covo
pasta_1614,lequinoxe
salads_1456,lequinoxe
french_321,lequinoxe
desserts_954,booboo-cakes
cake_251,booboo-cakes
italian-pizza_271,godo-bistrot-pizzeria-bar
pasta_1614,godo-bistrot-pizzeria-bar
italian_21,godo-bistrot-pizzeria-bar
pasta_1614,snack-tout-pres
snacks_201,snack-tout-pres
salads_1456,snack-tout-pres
african_771,le-laakam
chicken_231,le-laakam
italian-pizza_271,tasty-pizza-1030
pasta_1614,tasty-pizza-1030
100-halal_921,tasty-pizza-1030
sushi_51,hawaiian-poke-bowl-bruxelles-1
international_1486,hawaiian-poke-bowl-bruxelles-1
sushi_51,bad-by-la-parisienne
chinese_41,bad-by-la-parisienne
japanese_551,bad-by-la-parisienne
pasta_1614,sandwiched
sandwiches_671,sandwiched
pita-kebab_651,snack-dag
sandwiches_671,snack-dag
snacks_201,snack-dag
pita-kebab_651,snack-memo-chez-feyyaz
fries_1734,snack-memo-chez-feyyaz
snacks_201,snack-memo-chez-feyyaz
pita-kebab_651,snack-tarik
fries_1734,snack-tarik
snacks_201,snack-tarik
2600,snack-tarik
pasta_1614,ebenezer
sandwiches_671,ebenezer
african_771,ebenezer
italian-pizza_271,tekince-kebap-pizza
snacks_201,tekince-kebap-pizza
turkish-pizza_291,tekince-kebap-pizza
groceries_2500,la-bella-puglia
italian_21,la-bella-puglia
lunch_351,la-bella-puglia
chinese_41,wazawok-city-2
wok_561,wazawok-city-2
noodles_1644,wazawok-city-2
japanese_551,poke-bar
desserts_954,poke-bar
salads_1456,poke-bar
burgers_1984,yorker
fries_1734,yorker
american_381,yorker
pasta_1614,il-buongustaio-bruxelles
italian_21,il-buongustaio-bruxelles
salads_1456,il-buongustaio-bruxelles
tacos_1964,otacos-docks
french_321,otacos-docks
desserts_954,veganwaf
cake_251,veganwaf
falafel_1215,veganwaf
lebanese_491,eastwest
falafel_1256,eastwest
falafel_1215,eastwest
pita-kebab_651,snack-bodrum-bruxelles
burgers_1984,snack-bodrum-bruxelles
chicken_231,snack-bodrum-bruxelles
indian_71,au-chapati
sushi_51,tokyo-roll-new
japanese_551,tokyo-roll-new
tacos_1964,chamas-tacos-bxl-1
100-halal_921,chamas-tacos-bxl-1
drinks-and-snacks_661,chamas-tacos-bxl-1
pita-kebab_651,snack-marmaris-schaerbeek-1
fries_1734,snack-marmaris-schaerbeek-1
snacks_201,snack-marmaris-schaerbeek-1
halal_371,has-pide
turkish_511,has-pide
turkish-pizza_291,has-pide
african_771,tamtam-gourmand
burgers_1984,la-duga
halal_371,la-duga
desserts_954,la-duga
indian_71,tandoori-land-bruxelles
tandoori_1624,tandoori-land-bruxelles
japanese_551,ozawa
noodles_1644,ozawa
100-halal_921,ozawa
sushi_51,sapporo-shi-sushi-ramen-bar
japanese_551,sapporo-shi-sushi-ramen-bar
noodles_1644,sapporo-shi-sushi-ramen-bar
pita-kebab_651,snack-gerard-new
fries_1734,snack-gerard-new
snacks_201,snack-gerard-new
wok_561,petales-de-rose
vietnamese_261,petales-de-rose
noodles_1644,petales-de-rose
pita-kebab_651,snack-delice-st-michel
italian-pizza_271,snack-delice-st-michel
snacks_201,snack-delice-st-michel
italian-pizza_271,partnership-support-be
american-pizza_281,partnership-support-be
turkish-pizza_291,partnership-support-be
sushi_51,waikiki-poke-bar
japanese_551,waikiki-poke-bar
100-halal_921,waikiki-poke-bar
italian-pizza_271,woodiz-porte-de-namur
italian_21,woodiz-porte-de-namur
desserts_954,woodiz-porte-de-namur
2600,woodiz-porte-de-namur
burgers_1984,burgerstreet-original-smashed
fries_1734,burgerstreet-original-smashed
american_381,burgerstreet-original-smashed
italian-pizza_271,fratellos-sc
pasta_1614,fratellos-sc
italian_21,fratellos-sc
salads_1456,slada-bruxelles
tacos_1964,el-pulgarcito
mexican_221,el-pulgarcito
international_1486,el-pulgarcito
italian-pizza_271,pizza-express-bruxelles
pasta_1614,pizza-express-bruxelles
halal_371,pizza-express-bruxelles
burgers_1984,burger-factory-bruxelles
halal_371,burger-factory-bruxelles
american_381,burger-factory-bruxelles
pita-kebab_651,greekit-house-of-souvlaki
greek_501,greekit-house-of-souvlaki
salads_1456,greekit-house-of-souvlaki
2600,greekit-house-of-souvlaki
burgers_1984,chicken-factory-bruxelles
halal_371,chicken-factory-bruxelles
chicken_521,chicken-factory-bruxelles
2600,chicken-factory-bruxelles
salads_1456,slada-laeken
desserts_954,starbucks-schuman
breakfast_681,starbucks-schuman
baked-goods_2468,starbucks-schuman
sushi_51,manhattan-sushi
halal_371,manhattan-sushi
japanese_551,manhattan-sushi
2600,manhattan-sushi
wok_561,kaza
noodles_1644,kaza
drinks-and-snacks_661,kaza
lebanese_491,le-prince-downtown-new
grill_801,le-prince-downtown-new
2600,le-prince-downtown-new
chinese_41,la-cite-du-dragon
noodles_1644,la-cite-du-dragon
pita-kebab_651,chikyy
tacos_1964,chikyy
100-halal_921,chikyy
chinese_41,meli-mely
wok_561,meli-mely
desserts_954,starbucks-gare-du-nordnoord
breakfast_681,starbucks-gare-du-nordnoord
baked-goods_2468,starbucks-gare-du-nordnoord
fries_1734,wingsstreet-schaerbeek
chicken_231,wingsstreet-schaerbeek
