primarySlug,restaurant_id,name,address,city,supportsDelivery,supportsPickup,paymentMethods,ratings,ratingsNumber,deliveryScoober,durationRangeMin,durationRangeMax,deliveryFee,minOrder,longitude,latitude
pasta-pino,ONPO70QN,Pasta Pino,Rue de Tournai 28,Mouscron,1,1,"['bancontact', 'paypal', 'creditcard']",4.6,29,0,15,40,3.0,15.0,3.2168884,50.74363
da-barone-et-fils,00N7P37N,Da Barone et Fils, route du condroz 202,Neupré,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",3.0,139,0,80,100,3.0,10.0,5.4607516,50.5409924
pizza-gustosa,O031NNN1,Pizza Gustosa,Rue de Bruxelles 110,Awans,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.6,1382,0,20,45,4.0,25.0,5.4802058,50.6754914
la-brezza-nova-rocourt-1,R0P3NPQN,La Brezza Nova Rocourt,Rue François-Lefèbvre 192,Liège,1,0,"['bancontact', 'paypal', 'creditcard']",4.3,8,0,40,65,5.0,30.0,5.5497033,50.6841799
la-storia-ans,R5R5QNQN,La Storia,Rue de l'yser 409,Liège,1,1,"['bancontact', 'paypal', 'creditcard']",4.2,10,0,45,70,5.0,55.0,5.512421,50.66334
pizza-hut-delivery-houthalen,0307RP11,Pizza Hut Delivery,Grote Baan 116,Houthalen,1,0,"['bancontact', 'paypal', 'creditcard']",3.7,91,0,50,75,1.99,15.0,5.3770218,51.0316575
grillhouse-kusadasi,N05RN5O,Grillhouse Kusadasi,15 Augustusstraat 3,Zutendaal,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.7,295,0,20,45,2.5,20.0,5.5741936,50.9311393
litaliano-nieppe,RRO5PNQN,L'Italiano,Rue d'Armentières 1511,Nieppe,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",3.3,6,0,20,45,3.5,29.0,2.8574184,50.697476
signature-burger-ixelles,OQ7N50QN,Black Angus Burger Gourmet,Avenue du bois de la Cambre 49,Ixelles,0,1,"['bancontact', 'cash', 'paypal', 'creditcard']",3.0,35,0,45,70,4.0,25.0,4.3950112,50.8093402
pizza-hut-delivery-ukkeluccle-2-st-job,QP5QP33,Pizza Hut Delivery,Place de St-Job 38/39,Uccle,1,0,"['bancontact', 'paypal', 'creditcard']",4.1,167,0,20,45,1.99,15.0,4.3652704,50.7944917
delices-de-mazagan,N7QONPO,Délices de Mazagan,Plateau de la gare 7,Tubize,0,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.8,603,0,15,40,0.0,0.0,4.2050586,50.6927383
dominos-pizza-tubize,NNO75NQ,Domino's Pizza,Rue de Mons 48,Tubize,1,1,"['bancontact', 'paypal', 'creditcard', 'sodexo']",4.1,415,0,30,55,1.5,25.0,4.2037156,50.6914912
akira,NO555Q7,Akira,Rue De Mons 37,Tubize,1,1,"['bancontact', 'paypal', 'creditcard']",4.6,75,0,35,60,0.0,30.0,4.2035757,50.6916829
pizzeria-taormina-virginal,O1730N01,Pizzeria Taormina,rue Rouge Bouton 59A,Virginal,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",3.2,1378,0,45,70,0.0,30.0,4.2052731,50.64659
snack-de-la-gare-tubize,OPORR0QN,Snack de la Gare,Plateau de la Gare 15,Tubize,1,1,"['bancontact', 'paypal', 'creditcard']",4.2,33,0,25,50,5.0,25.0,4.2052684,50.69229
butcher,010R1P5N,Butcher,Grand-Rue 33,Louvain-la-Neuve,1,1,"['bancontact', 'paypal', 'creditcard', 'sodexo']",3.9,452,0,50,75,7.5,75.0,4.6140658,50.6692295
cooking4u,R1OQQ5QN,Cooking4U,Rijksweg Noord 93,Sittard,1,0,"['bancontact', 'paypal', 'creditcard']",0.0,0,0,40,65,3.9,20.0,5.8660955,51.0028531
indian-palace-nl,RQRQQ5QN,Indian Palace,Rijksweg Noord 93 Unit 3,Sittard,1,0,"['bancontact', 'paypal', 'creditcard']",0.0,0,0,35,60,3.9,20.0,5.8660955,51.0028531
snack-pita-bodrum-vise,0R1P7N11,Snack Pita Bodrum,Avenue du Pont 20,Visé,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.3,848,0,40,65,3.5,20.0,5.6940744,50.7378023
sushi-chow,N7307O7,Sushi Chow,rue Haute 6,Visé,0,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.4,267,0,35,60,0.0,0.0,5.6950235,50.7350978
shangri-la-oupeye,NOPR5OR,Shangri-la,Square Roi Baudouin 48,Oupeye,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",4.8,363,0,15,40,6.0,40.0,5.6715003,50.7347545
kero-tacos-1,NRO07O7,Kero Tacos,avenue du pont 10,Vise,0,1,"['bancontact', 'paypal', 'creditcard']",4.1,810,0,50,75,0.0,0.0,5.6943161,50.737713
napoli-heers,N70RO0Q,Napoli Heers,Nieuwe Steenweg 38,Heers,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",3.5,494,0,50,75,3.0,0.0,5.302248,50.752292
otacos-waremme,R070P1QN,O'Tacos,Place du Roi Albert 1er 6,Waremme,1,0,"['bancontact', 'paypal', 'creditcard']",3.0,184,0,40,65,8.0,25.0,5.2540341,50.6959868
la-plazza-waremme,R7PNRNQN,La Plazza Waremme,Rue de Huy 1A,Waremme,0,1,"['bancontact', 'paypal', 'creditcard']",4.5,80,0,40,65,0.0,25.0,5.25257,50.695427
pizza-hut-delivery-beernem,RP1R1PQN,Pizza Hut Delivery,Hubert d'Ydewallestraat 32,Brugge,1,1,"['bancontact', 'paypal', 'creditcard']",1.9,6,0,60,85,1.99,15.0,3.3246631,51.1289345
oregano-brasschaat,OQQ5OQPN,Oregano Brasschaat,Bredabaan 284,Brasschaat,1,0,"['bancontact', 'cash', 'paypal', 'creditcard']",3.9,164,0,30,55,0.0,20.0,4.4921598,51.290567
side-kebap,OOP5N,Side Kebap,Koeistraat 23,Arendonk,1,1,"['bancontact', 'cash', 'paypal', 'creditcard']",3.7,546,0,30,55,0.0,15.0,5.0863443,51.3187134
