restaurant_id,location_id
chitir-chicken-ninove,0
hkebab,0
juicy-ninove,0
samis,0
josephine,0
pizza-hut-delivery-ninove,0
pizzeria-la-stella,0
my-tacos,0
sint-lievens-sushihuis,0
grill-bar-the-shake,0
vespa-pasta-en-pizza-bar,0
taverne-monaco,0
hoshi-sushi-lennik,0
perle-dasie,0
deluxe-burger,0
bostonpizza,0
pitza-service-aalst,0
mamma-mia-3,0
scape,0
pizza-pazzia-toto,0
sabina-pizza-dinner,0
la-romantica-roosdaal,0
be-sushi-pokebowl,0
golden-slice-pizza,0
oke-poke-bowl-erpe-mere-1,0
pizza-talia-ninove,0
toronto-pizzaburger,0
pasta-burger-family,0
frituur-snax,0
pitta-dorp,0
nino-grill-ninove-1,0
the-salad-spot,0
titis,0
subayaku-geraardsbergen,1
bij-sylvia,1
samis,1
sint-lievens-sushihuis,1
pizza-town-houtem,1
chapos-zuid-en-noord,1
pizza-palace-9185,1
dominos-pizza-zottegem,1
pizza-heat-zottegem,1
pizza-heat-3,1
pizza-pitta-lara-1,1
pizza-pita,1
oke-poke-bowl-erpe-mere-1,1
toronto-pizzaburger,1
frituur-snax,1
juicy-zottegem-1,1
pitta-melita-oosterzele,1
chifuri,2
pizza-talia-original-geraardsbergen,2
subayaku-geraardsbergen,2
dominos-pizza-geraardsbergen,2
samis,2
pitta-marmaris-geraardsbergen,2
taverne-monaco,2
best-grill-geraardsbergen-1,2
pizzeria-la-piazzetta,2
sabina-pizza-dinner,2
golden-slice-pizza,2
ath-grill-ath,2
kali-orexi-geraardsbergen,2
toronto-pizzaburger,2
la-cite-de-pekin,2
frituur-snax,2
pitta-istanbul-lessines-1,2
the-salad-spot,2
titis,2
miku-sushi,3
namaste-sint-niklaas,3
de-fontein,3
mister-wok-more,3
yoi-sushi,3
kingribs-beveren-waas,3
yarsagumba-beveren,3
el-patron-sint-niklaas-1,3
waasland-sushi,3
pizza-phone-linkeroever,3
pizzaslice,3
acropolis-patmos,3
brasserie-de-witte-molen,3
bejacks,3
renard,3
kangei-sushibar,3
pizza-company-9120,3
sushi-land,3
wok-1,3
cairo-one,3
antica-italia,3
de-friterie,3
antwerpasta-antwerpen-1,3
melita-beveren,3
orient-kitchen-antwerpen,3
t-friet-uurke-nieuwkerken-waas,3
miss-pizza,3
pizza-hot-kruibeke,3
the-daily-beveren,3
king-pizza-more-sint-niklaas,3
frituur-1830,3
sushi-sake,3
ciz-bizz-grill,3
kaai-31,3
pizza-paleis-haasdonk,3
pitta-pizza-antalya-beveren,3
pizza-hut-delivery-beveren,3
pitza-service-1,3
eethuis-familia,3
orgidee,3
temakisushi,3
la-familia-saint-nicolas-1,3
amaris,3
pizza-toni-antwerpen,3
shiso,3
antwerpen-fried-chicken-5-sint-niklaas-1,3
china-service,3
pizza-maestro-belsele,3
brunch-house,3
burgers-fried-chicken-antwerpen,4
binx,4
besushi-pokebowl,4
giovannis-willebroek,4
valento-pizzeria,4
pizza-tower-1,4
napoli-hemiksem,4
kingslize-pizza-wilrijk,4
alis-eethuis,4
pizza-service-boom,4
fusion,4
broodjesfabriek,4
reet-grillhouse,4
oase,4
pastonella,4
rupel-sushi,4
friet-n-chips,4
dilsu-pizza,4
t-fritateljee,4
frituur-kartoefel-hemiksem,4
sushisra,4
obuns,4
zakuro-2830,4
pita-tuba-1,4
new-canton-boom,4
all-in-one,4
mati-sushi-aarschot,4
frituur-t-geleeg-1,4
sayori-sushi,4
ristorante-villar-perosa,4
saito-sushi,4
rayn-ijssalon,4
pizza-trenti-aartselaar-2,4
la-copita,4
wok-style-2,4
kingribs-boom-1,4
poke-home-delivery,4
la-casa-pizzeria,4
king-pizza-niel-new,4
los-mendas,4
lemar,4
kojima-sushi,4
burgers-fried-chicken-antwerpen,5
binx,5
t-gouden-frietje,5
primavera-hoboken,5
afc-antwerp-fried-chicken,5
asian-time-2020,5
den-esprit,5
pitaverne-wilrijk,5
frituur-special,5
besushi-pokebowl,5
breughelhof-cafe-bistro-antwerpen,5
valento-pizzeria,5
pizza-tower-1,5
napoli-hemiksem,5
kingslize-pizza-wilrijk,5
the-creperoom,5
wan-kou,5
my-burger-1,5
fusion,5
broodjesfabriek,5
reet-grillhouse,5
rupel-sushi,5
amigos,5
frit-uurtje,5
sushi-wilrijk,5
pita-express,5
pitza-service-4,5
antwerpasta-antwerpen-1,5
rimas,5
frituur-kartoefel-hemiksem,5
ter-linde-sushibar,5
pizza-hot-kruibeke,5
sushi-palace-wilrijk,5
madagascar-poke,5
my-wok,5
sushi-factory-hoboken,5
restaurant-marmaris,5
obuns,5
frituur-de-kern,5
zakuro-2830,5
pita-tuba-1,5
mati-sushi-aarschot,5
sasi-thai,5
pizza-palace-kruibeke,5
sayori-sushi,5
ristorante-villar-perosa,5
saito-sushi,5
pizza-delicio-2,5
taste-king-pizza,5
pizza-trenti-aartselaar-2,5
la-copita,5
almina,5
wok-style-2,5
pitaverne-mortsel-2,5
kingribs-boom-1,5
pizzeria-lina,5
la-casa-pizzeria,5
king-pizza-niel-new,5
say-pasta,5
los-mendas,5
wok-box,5
julius-caesar-hoboken,5
lemar,5
frituur-olympiade,5
kojima-sushi,5
slice-and-more,5
poke-for-you,6
frituur-den-hoek-af,6
burgers-fried-chicken-antwerpen,6
pura-vida-foodbar,6
nawaab-tandoori-antwerpen,6
